session_id,student_emotion_before,student_first_dialogue
415,Guilt,"Hi, I'm feeling really guilty about not being able to get my assignments done on time. I keep putting them off and I don't know why. It's like I'm stuck in this cycle of procrastination and I don't know how to get out of it."
376,Exhaustion,"Hey, I've been struggling to sleep lately. I've been lying awake for hours every night, and even when I do fall asleep, I wake up feeling exhausted. I just can't seem to catch up on rest."
235,Overthinking,"Hi, I've been feeling really overwhelmed lately. I'm 20 years old and I feel like I should be financially independent by now, but I'm still relying on my parents for everything. I just can't stop thinking about it and it's affecting my mood and motivation."
410,Apathy,"Honestly, I just can't seem to motivate myself to log in to my online classes. It feels like such a chore, and I'm just going through the motions. I'm starting to think I'm just not cut out for this whole online learning thing."
42,Shame,"Hi, I don't know why I'm here. I feel so ashamed about needing help. I should be able to handle my problems on my own."
264,Apathy,"Hey, I don't know why, but I just can't seem to find the energy to train anymore. I used to love it, but now it just feels like a chore. I'm so apathetic about it."
289,Guilt,"I'm really stressed out about our group project. We're supposed to present in front of the whole class, and I'm terrified I'll mess up and let everyone down. I feel so guilty just thinking about it."
309,Isolation,"Hi, I'm feeling really isolated lately. I had a big fight with my closest friends and now it feels like they're all avoiding me. I don't know what to do or how to fix it."
179,Self-Doubt,"Hi, I'm really struggling with my grades lately. I just got my midterm results and I'm not doing well at all. I'm starting to feel like I'm not cut out for college. I'm doubting my abilities and it's affecting my motivation to even study."
288,Shame,"I'm just really struggling in my classes, but I'm too ashamed to ask for help. I feel like I'm the only one who doesn't get it."
172,Regret,"I just can't believe I got rejected from another internship. I feel like I'm not good enough. I've applied to so many places, and no one wants me. I'm starting to regret not taking that one offer I got last semester."
129,Stress,"Hi, I'm really stressed out about my student loans. I feel like I'm drowning in debt and I don't know how I'm going to pay it off. It's always on my mind and it's affecting my focus on my studies."
239,Resentment,"I'm so frustrated with my friends right now. We've been friends since freshman year, but lately, it feels like they're not even making an effort to hang out or talk to me. I feel like I'm always the one initiating conversations and plans, and they just don't seem to care. I'm starting to resent them for it."
70,Self-Doubt,"I'm really struggling with this feeling of self-doubt. I'm a team leader for a group project, and I'm worried that I won't be able to deliver what my team needs. I've been having these constant thoughts of ""what if I fail?"" and ""what if I let everyone down?"""
199,Anxiety,"I'm so anxious about the upcoming competitions. I feel like I need to win, or else I'll let everyone down. My parents, my coach, even myself. I just can't shake off this feeling of pressure."
260,Heartbreak,"I feel like my whole world has been turned upside down. My boyfriend and I broke up last week, and I'm still trying to process everything. We were together for three years, and I thought we were happy. I don't know how to move on from this. I just feel so lost and heartbroken."
238,Stress,"Hi, I'm so glad I came in today. I've been feeling really overwhelmed and stressed out lately. I just can't seem to stop thinking about everything. Every little thing becomes a huge deal in my head, and it's exhausting."
420,Frustration,"I'm so frustrated, I've been having trouble sleeping for weeks now. I've tried everything: going to bed earlier, avoiding caffeine, exercising regularly... nothing seems to work. I'm exhausted all the time and it's affecting my mood and grades."
86,Apathy,"I don't know, I just can't seem to sleep at night. I'll lie awake for hours, thinking about nothing and everything at the same time. It's like my brain just won't shut off. And when I do finally fall asleep, I wake up feeling like I've been hit by a truck. I'm so tired all the time, and it's affecting my grades, my social life... everything."
241,Self-Doubt,"Hi, I'm just really frustrated and feeling so down on myself. I've applied to what feels like a million internships and jobs, and I keep getting rejected. I'm starting to think I'm just not good enough."
324,Overthinking,"Hi, I'm really struggling with social anxiety. I feel like I'm constantly overthinking every interaction, every conversation, every little thing. It's exhausting. I just feel like I'm not good enough, like I'm always on the verge of saying or doing something stupid."
325,Loneliness,"I just feel so lonely all the time. My boyfriend and I have been in a long-distance relationship for a year now, and it's just getting harder and harder. We barely get to see each other, and when we do, it's always so rushed. I feel like I'm just stuck in this limbo, and I don't know how to make it work."
284,Nervousness,"Hi, I'm really nervous about talking to you about this, but I just feel so anxious in social situations. I avoid parties and gatherings because I'm afraid of saying something stupid or being judged."
104,Apathy,"Honestly, I just don't feel like training anymore. I've been doing it for months, and I'm not seeing any progress. It's like I'm just going through the motions. I feel so apathetic about the whole thing."
331,Guilt,I'm really struggling with managing my money. I always seem to overspend and then I feel so guilty about it. I don't know how to stop.
13,Pressure,"Hi, I'm feeling so much pressure to win competitions. I'm a debater and my team is counting on me, but I'm getting really anxious about not meeting their expectations. I keep thinking ""what if I mess up?"" and it's affecting my performance."
157,Shame,I don't know why I'm even here. I feel so ashamed. I've been struggling with my coursework and I'm afraid to ask for help. I feel like I should be able to do it on my own.
322,Resentment,I'm just so done with my friends. We always seem to be at odds with each other and it's exhausting. I feel like they never listen to me or care about my feelings.
389,Apathy,"Honestly, I'm just so done with online learning. It's like, I'm stuck in front of a screen all day, and I just can't seem to focus. I feel like I'm falling behind, and it's just really frustrating."
371,Anxiety,"Hi, I'm really struggling with public speaking. Just the thought of it makes me incredibly anxious. I avoid it at all costs, but I know I need to overcome this fear."
125,Hopelessness,"Hi, I'm just really feeling hopeless right now. I was supposed to be the star player on my team, and now I'm sidelined with an injury. I feel like my whole identity is wrapped up in sports, and without it, I'm nothing."
30,Nervousness,"Hi, I'm really nervous about speaking up in class. I always feel like everyone is judging me, and I'm scared of saying something stupid. I just want to hide and avoid participating altogether."
293,Stress,"Hey, I'm really struggling to balance my sports commitments with my schoolwork. I feel like I'm constantly running from one thing to another and I'm not doing well in either area. I'm really stressed out about it."
177,Overwhelm,"I just feel so overwhelmed all the time. My parents are always on my case about getting good grades, going to a top college, and getting a high-paying job. They never seem to be satisfied with what I do, no matter how hard I try. I feel like I'm walking on eggshells around them, always worried about disappointing them."
378,Overwhelm,"I just feel so overwhelmed all the time. My parents are always on my case about something. They want me to get straight A's, play sports, volunteer, and have a part-time job. I'm just so tired of trying to please them. I feel like I'm never good enough."
425,Worry,"Hi, I'm feeling really worried about my financial situation. I'm 20 and still dependent on my parents for everything. I want to be financially independent, but I have no idea how to make that happen. I feel like I'm stuck."
305,Guilt,"Hi, I'm really struggling with managing my money. I feel so guilty about it. I keep overspending and I'm worried I'm going to end up in debt. I don't know how to stop it."
99,Resentment,"I'm so frustrated with my friends right now. We're always fighting about something, and it feels like they never listen to me or care about my feelings. I'm just so resentful towards them."
471,Stress,"Hi, I'm just really struggling with online learning. I feel like I'm not learning anything and it's so hard to stay motivated. I'm constantly stressed about keeping up."
28,Resentment,"I'm so frustrated with my friends right now. We always seem to disagree on everything, and it feels like they're never listening to me. I feel like I'm always walking on eggshells around them, trying not to say something that will start a fight. I'm just so resentful of the whole situation."
310,Self-Doubt,"Hi, I feel really stuck. I've been putting off this project for weeks, and now it's due soon. I just feel like I'm not good enough, and I'm going to fail."
19,Hesitation,"Hi, I'm just really struggling with taking risks. I feel like I'm always holding back and playing it safe, but it's holding me back from achieving my goals. I just can't seem to shake off this fear of failure."
296,Uncertainty,"Hi, I'm just really struggling with my long-distance relationship. I feel so uncertain about everything. Is it even worth it?"
240,Guilt,"I feel so guilty about not being able to motivate myself to study for my upcoming exams. I know I should be preparing, but I just can't seem to get myself to do it. I've been putting it off for weeks now, and it's getting closer and closer."
398,Overwhelm,"Hi, I'm really struggling with managing my money. I feel like I'm drowning in debt and I have no idea how to get out of it. I'm constantly worried about not being able to pay my bills on time. (Overwhelm)"
499,Frustration,"I just can't seem to get anything done. I know I have deadlines, but I just keep putting things off until the last minute. It's so frustrating because I know I'm capable of doing better, but I just can't seem to get motivated."
9,Exhaustion,"I'm just so exhausted all the time. I feel like I'm constantly juggling school and my part-time job, and I'm not doing well in either one. I'm barely sleeping, and when I do, I'm plagued by anxiety about all the things I need to do. I just feel like I'm stuck in this never-ending cycle."
11,Sadness,"I just feel so devastated. My boyfriend and I broke up last week, and it's been really tough for me to focus on classes and stuff. I thought we were solid, but I guess I was wrong. I just can't stop thinking about him and what could've been."
71,Hopelessness,"I just feel so hopeless, Doc. I was supposed to be the star player on the team, and now I'm stuck on the sidelines with an injury. I don't know how I'm going to get back to where I was."
